gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04712014857807258,0.0006368346204563724,-0.039519525225460726,0.016287973560879066,185.99956666666668,375.94226764808076,235.2712,203.19119999999998,-0.9873856358645929,0.6662994566536588,0.00005718206770355394,0.1946592749987751,6134.8,4687.34,6176.8,2859.52,(((x)*((0)*(0)))*((x)-((x)*(x)))),(((x)*((8)*(9)))*((x)+((1)*(3)))),SubXD|MultXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|MutateNonTerminalR|ReplaceBranchR|DivXD,DeleteTerminalR,ReplaceBranchR,0,0,1,1,1
1,x*x*x*x,25,-10,-0.03949771271729186,-0.03734505147069582,-0.039496569075937786,-0.03404200197919973,245.952,1472.2302,246.512,775.6676000000001,-0.9873856358645929,0.300124166775585,0,0.006460072755939697,6176.8,6073.959999999999,6176.8,5997.32,(((x)*((0)*(0)))*((x)-((x)*(x)))),(((1)+((4)*(7)))*((7)-((x)*(0)))),SubXD|MultXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult,DeleteTerminalR,DeleteTerminalR,0,1,2,2,1
2,x*x*x*x,25,-10,-0.03949769229512483,0.012049592023451652,-0.03949652823160372,0.014475138637339662,245.96200000000002,239.5104,246.532,218.7256,-0.9873856358645929,0.49959855854510155,0,0.10700061273862743,6176.8,5663.35,6176.8,4288,(((x)*((0)*(0)))*((x)-((x)*(x)))),((((x)*(7))+((3)*(4)))*((8)+((x)*(x)))),SubXD|MultXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult,DeleteTerminalR,AddTreeWithMult,0,1,3,3,1
3,x*x*x*x,25,-10,-0.039190588648542676,0.00954315671036422,-0.03826692915958699,0.011584900199787146,396.3396000000001,266.3166,848.6224000000001,243.4924,-0.8645360083649197,0.2935937412476428,0.06142481374983661,0.004111182379146761,21215.56,6105.92,66331.84,6053.28,(((x)*((x)*(x)))*((x)-((0)*(x)))),((((x)-(1))-((7)*(x)))-((4)*((0)*(x)))),SubXD|ReplaceBranchR|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult,DeleteTerminalR,DeleteTerminalR,3,3,4,4,1
4,x*x*x*x,25,-10,-0.039500024915043785,0.009766076037307609,-0.03949763102862371,0.013618154489609204,244.81980000000004,269.642,245.99200000000002,226.0692,-0.9873856358645929,0.4966857740351402,0,0.12981340714919806,6176.8,5863.1,6176.8,4312.96,(((x)*((0)*(0)))*((x)-((x)*(x)))),(((x)*((5)*(7)))*((x)-((2)*(2)))),SubXD|MultXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult,DeleteTerminalR,DeleteMaliciousR,4,4,5,5,1
5,x*x*x*x,25,-10,-0.03919001682786564,0.011463247844191015,-0.03826692915958699,0.016707246485053312,396.61960000000005,244.6539,848.6224000000001,199.5984,-0.8645360083649197,0.5458110050973729,0.06146295877246149,0.12968392947338672,21187.56,5557.25,66331.84,3892,(((x)*((x)*(x)))*((x)-((0)*(x)))),(((9)+((9)*(4)))*((0)+((x)*(x)))),SubXD|MultXD|SkipD|DeleteTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult,DeleteTerminalR,SkipD,4,4,6,6,1
6,x*x*x*x,25,-10,-0.039467606358645935,0.008654826071186353,-0.039372712717291855,0.011676158111918147,260.69399999999996,368.5872,307.16,242.71039999999996,-0.9750000000000001,0.2951434919805068,0.006212112562375693,0.004669075756769041,7679,6099.99,12241.6,6040,(((3)*((x)*(x)))*((x)-((0)*(x)))),((8)*((x)*(6))),SubXD|MultXD|SubXD|MutateTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithMult,SubXD,DeleteTerminalR,6,6,7,7,1
7,x*x*x*x,25,-10,-0.039497258119853614,0.012488435218552198,-0.03949542543458372,0.019504453199395037,246.1746,235.74989999999997,247.072,175.62879999999998,-0.9873856358645929,0.5486491028250275,0.000042396418768742006,0.1314674085553709,6166.42,5557.52,6176.8,3867.68,(((x)*((0)*(x)))*((5)-((x)*(x)))),((((x)*(x))+((0)*(0)))-((4)-((8)*(x)))),SubXD|MultXD|SkipD|MutateTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithMult,SubXD,AddTreeWithMult,7,6,8,8,1
8,x*x*x*x,25,-10,-0.03921630546660567,0.009739963488413906,-0.03849775356162593,0.012105280355509085,383.74699999999996,262.6552,735.596,239.03320000000002,-0.9125040844334075,0.29751479731874453,0.03743737221913694,0.006038474534480564,15346,6069.66,42843.6,6019.68,((((x)*(x))*((x)*(x)))-((0)*((8)-(x)))),((((4)*(2))*((9)-(x)))*((0)-((x)*((0)-(x))))),SubXD|MultXD|SubXD|MutateTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|MutateNonTerminalR|AddToLeafR|AddTreeWithMult,SubXD,DeleteTerminalR,6,6,9,9,1
9,x*x*x*x,25,-10,-0.0394659648248595,0.010293700081615181,-0.039246569075937786,0.017948540806990685,261.49780000000004,498.1372,368.92800000000005,188.9616,-0.9625040844334074,0.4710682077039417,0.01243873349888902,0.09012770447406482,9224.2,5686.04,18360.4,4532.48,((((x)*(x))*((x)*(4)))-((0)*((x)-(x)))),((((x)*(x))*((1)*(x)))*((1)-((4)-(8)))),SubXD|ReplaceBranchR|SubXD|MutateTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithMult,SubXD,SkipD,9,9,10,10,1
10,x*x*x*x,25,-10,-0.03915685490458764,0.006848049661437618,-0.03812491667755849,0.013638459958548841,412.8578,375.4978,918.1608,225.89519999999996,-0.8999999999999999,0.3913774109826914,0.04369281793229651,0.05124687505517606,16874.2,5837.299999999999,48966.4,5215.36,(((x)*((x)*(x)))*((x)-((0)*(9)))),((((x)*(8))*((6)*(x)))-((7)-((x)*((x)-(0))))),SubXD|DeleteNonTerminalR|SkipD|MutateTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddTreeWithMult,SubXD,DeleteTerminalR,10,10,11,11,1
11,x*x*x*x,25,-10,-0.03918652341197229,0.010662022394844145,-0.03837491831133186,0.012256801165113806,398.33020000000005,251.7318,795.7440000000001,237.7348,-0.8999999999999999,0.34400731930466616,0.04205279222834503,0.029346170322925077,18380.02,5998.42,48966.4,5621.28,(((x)*((9)*(x)))*((x)-((0)*(x)))),((((x)*(9))+((0)-(x)))*((0)*((x)-((0)*(x))))),SubXD|MultXD|SkipD|MutateTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult,SubXD,DeleteTerminalR,11,11,12,12,1
12,x*x*x*x,25,-10,-0.03912307337276173,0.00843937914160737,-0.03787385635864592,0.015919300931717614,429.3994,288.2996,1041.096,206.35039999999998,-0.9125000000000001,0.356610713818922,0.03747675082159383,0.043827636576913645,15319.099999999999,6030.13,42845.6,5513.28,(((x)*((8)*(x)))*((x)-((0)*(x)))),((((x)*(x))+((3)*(3)))*((9)-((0)+((4)*(0))))),SubXD|MultXD|SkipD|MutateTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult,SubXD,AddTreeWithAdd,11,11,13,13,1
13,x*x*x*x,25,-10,-0.03927882588877271,0.009233312130520713,-0.038622712717291854,0.01916108071773998,353.13300000000004,8663.445399999999,674.408,178.57119999999998,-0.9125000000000001,0.569561401870904,0.03746191741399938,0.13461348477477675,15330,5246.98,42845.6,3688.48,(((8)*((x)*(x)))*((x)-((0)*(x)))),((((x)*(4))+((4)*(x)))*((x)-((0)*((4)*(x))))),SubXD|MultXD|SkipD|MutateTerminalR|DeleteTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddTreeWithAdd|AddTreeWithMult,MutateTerminalR,DeleteMaliciousR,11,11,14,14,1
