generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9421632603834202,0.18622860405565553,-0.828130401837074,0.38077271838763843,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddToLeafR,StrategyAddToLeafR|StrategyReplaceBranchXR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddRandomSubTreeR,StrategyAddTreeWithDiv,0,0,93592.5,93592.5,(((((((5)*(((5)-(x))*(((1)/(4))-(9))))*((x)*((9)*(2))))+((8)*((x)+(7))))+(x))*(x))-(x)),(((4)-(x))+((3)/((0)/(5)))),5*x*x*x+2*x+7,2
2,-0.9472134462129075,0.014666672718825801,-0.8951825519982576,0.3310348014203573,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategySkipD|StrategyMultXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddToLeafR,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyDivXD|StrategySubXD|StrategyAddXD,StrategyAddRandomSubTreeR,StrategyDivXD,0,1,27461.8,27461.8,(((((((((8)+(0))/(2))*((x)-(2)))*(((4)*(8))*(x)))+((2)*((x)+((3)-(5)))))+(8))*(x))-(x)),(((((((((5)*((x)*(9)))/((0)*((0)+(2))))*(((x)-(4))*((x)-((4)-((0)-(5))))))/(x))/(x))/(x))-(x))+(x)),5*x*x*x+2*x+7,2
3,-0.8283525533123017,0.21679797678900972,-0.5517249397742814,0.3958554918061492,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddToLeafR,StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategySkipD|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyAddXD,2,2,368003.5,368003.5,(((((((((x)+(1))*((3)-(0)))*(((x)*(5))*(x)))+((2)*(((0)/(1))*(7))))+(x))*(x))*(x))-(x)),((((((((4)*(5))*(5))+((1)*((x)+(9))))/((4)*(((3)-(3))-((x)-(x)))))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
4,-0.6838331684917683,0.09486833929526298,-0.4063938617972214,0.3523418686438033,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddToLeafR,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategySubXD|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyAddXD,3,3,308731.8333333334,308731.8333333334,(((((((((8)+(6))*(x))*((x)*(x)))+((2)*((((x)-(3))-((8)/((7)-(1))))+(7))))+(x))*(x))*(x))-(x)),((((((((((((0)+(0))*(8))+((2)*(x)))*(((2)/(0))+((2)*(x))))+(((5)-((6)-(7)))+((3)*((x)-((1)+(0))))))/(x))/((x)-(5)))-(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
5,-0.4236690949947778,0.11282519569640523,0.18185363324784093,0.32727319467724136,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategySubXD|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyDivXD|StrategySubXD|StrategyAddXD,StrategyMultXD,StrategyDivXD,4,4,1504833.7,1504833.7,(((((((5)*(x))*((x)*((4)*(3))))+(((0)+(x))*((x)+(7))))+(x))*(((x)*(9))+(5)))*(x)),(((((((((5)*(x))*((x)*(8)))-((((4)*(4))+(9))+((2)*(x))))+((((1)+(1))-((2)*(9)))+(((x)*(5))/((x)*((x)-(x))))))/((9)-(8)))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
6,-0.2687298707810482,0.18453544712011966,0.007727190026720348,0.3747884494404848,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddToLeafR,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyAddXD,5,5,311441.5,311441.5,(((((((((5)+(x))*(x))*((x)*(x)))+((2)*((4)*(((7)+(x))-((3)/(6))))))+(x))*(x))*(x))-(x)),((((((((((5)*(x))*((5)/((3)+(3))))+(((1)+(5))+((4)*((3)-(1)))))+(((7)+((4)-(4)))+((2)*((9)+(5)))))/(x))/(0))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
7,-0.3309586415983789,0.09951871182023941,0.24309857987400538,0.5042698555300567,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyAddXD,6,6,78835126,78835126,(((((((5)*((0)-(9)))*(((6)+(7))*(x)))*(((2)*(9))*((x)+((x)+(8)))))+(x))*(x))*(x)),((((((((((5)*(2))-(((x)+(0))-(2)))*(((x)+(1))/((0)*(5))))+(((8)+((0)+(7)))+(((x)*(0))*(((2)-(5))-((0)*(9))))))/(x))/(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
8,-0.24772100604848052,-0.02996949115770417,0.08058746490436035,0.12249894202586194,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyAddXD|StrategySubXD|StrategyMultXD,StrategyMultXD,StrategyDivXD,7,7,1329266,1329266,(((((((5)*((8)*(4)))*(((4)*(3))*((9)+(9))))+((2)*(((9)-(9))+(7))))-(x))*(x))*(x)),(((((((((2)+((x)-(2)))+(((2)*(0))+((1)+(7))))+(((6)*(7))/((5)*((x)*((0)*(8))))))/(x))+(x))+(x))-(x))*(x)),5*x*x*x+2*x+7,2
9,-0.21987348913581034,0.0498476662972583,0.09954413850915735,0.287145182004705,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyDivXD,7,8,2433094,2433094,(((((((5)*((8)*(x)))*((((9)-(3))*(4))*(x)))+((2)*((x)+(7))))+((x)*(5)))*(x))*(x)),(((((((((5)*((9)*(x)))*(((1)*(2))*((x)+(1))))+(((x)+(x))+((7)+((8)*((x)*(x))))))/(x))/((7)-(2)))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
10,-0.2105106810155129,0.054375213273938496,0.263885024283686,0.199412303744815,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyDivXD,9,9,7336292.1,7336292.1,(((((((5)*(x))*(((7)-(x))*(x)))*(((4)+(8))*((2)*(6))))+(x))*((x)*(2)))*(x)),(((((((((6)*((2)+(7)))*(((x)*(x))+((2)*(x))))-((5)-(2)))/(0))/(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
11,-0.29279019828905806,0.058153794509162596,0.29282607822175966,0.2730661449123553,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyAddXD,10,10,338320673.5,338320673.5,(((((((5)*(x))*(((x)*(x))*(x)))*(((8)-(0))*((x)+(7))))+(x))*((0)+((8)*(3))))*(x)),(((((((5)+((5)-(x)))/(0))/(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
12,-0.30561761090132333,0.01221482993619113,-0.06639190623953375,0.2760347428564514,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyDivXD,11,11,2632073,2632073,((((((((x)+(8))*(7))*((x)*(x)))+((2)*((((5)*(3))-(2))+(7))))*(x))*(x))*(x)),(((((((((2)-((x)+(1)))+((2)*((x)+(9))))+(((6)+(x))*((8)*((4)-(9)))))/(0))/(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
13,-0.1530844930582828,0.038729104221086906,0.2881320798435128,0.26124910332930584,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddXD|StrategyMultXD,StrategyMultXD,StrategyDivXD,11,12,903309.8,903309.8,(((((((3)*((0)-((x)+(8))))*((x)*(x)))+(((6)*(8))*((x)+(7))))*(x))*(x))*(x)),(((((((((5)*((7)*(0)))-((x)*(7)))*(((x)+(6))*((6)+((x)+((x)*(5))))))/(0))/(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
14,-0.2688545476686561,-0.01681320536383486,0.17634855920878126,0.24706338965477248,StrategyAddRandomSubTreeR|StrategyAddXD|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyMultXD|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult,StrategyDivXD|StrategyDivXD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddXD|StrategyMultXD,StrategySkipD,StrategyDivXD,13,11,536269.7,536269.7,(((((((5)*(x))*(((6)-(x))*(x)))+((9)+(0)))*(x))*(((2)*(6))+(3)))*(x)),(((((((((3)*((x)*(x)))*(((x)*(1))+((7)+(9))))*(((x)-(4))*((1)-((x)*((x)-(x))))))/(x))/(x))+(x))+(x))*(x)),5*x*x*x+2*x+7,2
