gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.03839999863551604,-0.004991724654980967,-0.03839997723786525,0.000016859287896243516,8451.135207142857,8003.1016,8451.248228571429,8447.566,-0.9599987883274281,0.000033131671890426934,0,1.0000160294191929,211284.6,166645.32,211284.6,211271.2,((0)-(x)),((7)+(x)),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithSub|MultXD|DeleteNonTerminalR|MutateTerminalR|AddXD,AddToLeafR,AddXD,0,0,1,1,3
1,x*x*x*x*3*x+1,25,-10,-0.038399951533097124,-0.000011653266812318712,-0.038399951533097124,0.00003257884627945557,8451.384,8453.5931,8451.384,8444.2448,-0.9599987883274281,0.0012427216816500598,0,0.0009203451504505028,211284.6,211239.7,211284.6,211015.64,((0)-(x)),(((8)+((5)*(7)))-((0)*((x)-(x)))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithAdd|MutateNonTerminalR|MultXD|AddTreeWithMult|SubXD,AddToLeafR,AddTreeWithAdd,1,1,2,2,3
2,x*x*x*x*3*x+1,25,-10,-0.038399963649822844,0.0000032313313388015433,-0.038399963649822844,0.00004796708794376612,8451.32,8450.4464,8451.32,8440.9936,-0.9599987883274281,0.0012737707913075009,0,0.0005772544862580146,211284.6,211187.72,211284.6,211009.08,((0)-(x)),(((2)+((x)*(9)))*((5)-((x)-(x)))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,AddToLeafR,AddTreeWithMult,2,2,3,3,3
3,x*x*x*x*3*x+1,25,-10,-0.038399951533097124,0.0000031275911609606815,-0.038399951533097124,0.00004681221252358441,8451.384,8450.4673,8451.384,8441.2376,-0.9599987883274281,0.0014195501476253242,0,0.0007783830230350898,211284.6,211222.32,211284.6,210978.28,((0)-(x)),(((x)*((8)*(6)))+((x)-((0)-(x)))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,SubXD,AddTreeWithMult,3,3,4,4,3
4,x*x*x*x*3*x+1,25,-10,-0.038399951533097124,0.000006662992483041406,-0.038399951533097124,0.00003797647481246569,8451.384,8449.7203,8451.384,8443.1044,-0.9599987883274281,0.0013926661624342682,0,0.0007050826932556065,211284.6,211176.89,211284.6,210983.96,((0)-(x)),(((4)+((7)*(x)))*((7)-((x)-(x)))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,SubXD,AddTreeWithMult,4,4,5,5,3
5,x*x*x*x*3*x+1,25,-10,-0.038399951533097124,-0.000005454018141872138,-0.038399951533097124,0.00001683467796563693,8451.384,8452.282200000001,8451.384,8447.5712,-0.9599987883274281,0.0008521466010218193,0,0.0004509130280394294,211284.6,211241.04,211284.6,211098.16,((0)-(x)),(((x)*((5)*(6)))-((3)+((4)-(x)))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|AddXD|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,AddToLeafR,AddTreeWithMult,5,5,6,6,3
6,x*x*x*x*3*x+1,25,-10,-0.038399964426050585,0.000001073275790546804,-0.038399964028470526,0.00002433947278990681,8451.315900000001,8450.901300000001,8451.318000000001,8445.9856,-0.9599987883274281,0.0012169736394953405,0,0.0006166138605826814,211284.6,211216.45,211284.6,211021.08,((0)-(x)),(((6)+((x)*(7)))*((6)-(x))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,FellTreeD,AddTreeWithMult,6,6,7,7,3
7,x*x*x*x*3*x+1,25,-10,-0.038399983604555515,-0.000004991335103941677,-0.0383999769024916,0.0000007270086188837174,8451.214600000001,8452.1833,8451.25,8450.9744,-0.9599987883274281,0.000013820640274352988,0,0.000020609829939815357,211284.6,211281.66,211284.6,211275.28,((0)-(x)),(((x)+((3)*(7)))*((3)-(x))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,ReplaceBranchXR,AddTreeWithMult,7,7,8,8,3
8,x*x*x*x*3*x+1,25,-10,-0.038399978663203306,0.000001087497623247,-0.038399975766548564,0.000013040630007744777,8451.2407,8450.8983,8451.256000000001,8448.372800000001,-0.9599987883274281,0.0011455985520513149,0,0.0005852359828026107,211284.6,211221.45,211284.6,211036.16,((0)-(x)),(((8)*((x)*(5)))-((4)+((5)-(x)))),AddToLeafR|MutateTerminalR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,FellTreeD,AddTreeWithMult,8,8,9,9,3
9,x*x*x*x*3*x+1,25,-10,-0.038399951533097124,-0.0000028988612341899692,-0.038399951533097124,0.0000013366353096816783,8451.384,8451.7407,8451.384,8450.8456,-0.9599987883274281,0.00008803558530887626,0,0.00007489147448145757,211284.6,211282.57,211284.6,211259.6,((0)-(x)),(((7)+((x)*(x)))*((1)-((8)-(x)))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,SubXD,AddTreeWithMult,9,9,10,10,3
10,x*x*x*x*3*x+1,25,-10,-0.038399951533097124,-0.00000002978571062026352,-0.038399951533097124,0.00000422949457161431,8451.384,8451.1343,8451.384,8450.2344,-0.9599987883274281,0.00020219786045129674,0,0.00011723355886294734,211284.6,211272.46000000002,211284.6,211235.48,((0)-(x)),(((x)*((8)-(3)))*((0)+((6)-(x)))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,AddToLeafR,AddTreeWithMult,10,10,11,11,3
11,x*x*x*x*3*x+1,25,-10,-0.038399951533097124,-0.0000016634659849218693,-0.038399951533097124,-0.00000005868522885501443,8451.384,8451.479500000001,8451.384,8451.1404,-0.9599987883274281,0.0000068156582174702746,0,0.000028489224601833694,211284.6,211282.38,211284.6,211276.76,((0)-(x)),(((7)*((5)+(x)))-((1)*((9)-(x)))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,AddTreeWithAdd|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,AddToLeafR,AddTreeWithMult,11,11,12,12,3
12,x*x*x*x*3*x+1,25,-10,-0.038399951533097124,0.00001006061222442338,-0.038399951533097124,0.00005992099516182929,8451.384,8449.0025,8451.384,8438.468,-0.9599987883274281,0.0016066021009266565,0,0.0005663550169956667,211284.6,211180.56,211284.6,210938.76,((0)-(x)),(((8)*((x)*(7)))-((6)+((4)-(x)))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,MutateNonTerminalR|SubXD|AddTreeWithMult|AddTreeWithMult|SubXD,SubXD,SubXD,12,12,13,13,3
13,x*x*x*x*3*x+1,25,-10,-0.038402834140010667,-0.0002975621052588348,-0.038399951533097124,-0.00000037296016127871775,8436.1582,8518.148700000002,8451.384,8451.2068,-0.9599987883274281,0.000010412811165617851,0,0.000021894800766259593,211284.6,211282.90000000002,211284.6,211276,((0)-(x)),(((9)*((1)*(5)))+((x)-(x))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,AddToLeafR,AddTreeWithMult,13,13,14,14,3
14,x*x*x*x*3*x+1,25,-10,-0.038399951533097124,0.000004920753334501381,-0.038399951533097124,0.00004756572140429164,8451.384,8450.0884,8451.384,8441.0784,-0.9599987883274281,0.001873927362122608,0,0.0009472438933029892,211284.6,211182.47,211284.6,210882.28,((0)-(x)),(((x)*((8)*(2)))*((x)-(x))),AddToLeafR|ReplaceBranchXR|ReplaceBranchR|FellTreeD|SubXD,MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,AddToLeafR,AddTreeWithMult,14,14,15,15,3
