gen,avgA,avgP,topA,topP,topABest,topPBest,topASD,topPSD,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topABestDelta,topPBestDelta,topAEquation,topPEquation,spec,run
1,-0.9733849232277034,0.24086643791313272,-0.9726192420777524,0.30632690841772836,0,0,0.1975094080086567,0,ReplaceBranchXR,AddRandomSubTreeR,SkipD|AddTreeWithAdd|DivXD|AddTreeWithDiv|AddXD|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchXR|AddXD|MutateNonTerminalR|AddTreeWithDiv|SubXD|MultXD|AddTreeWithMult|ReplaceBranchXR,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|DivXD|DivXD|AddRandomSubTreeR|AddRandomSubTreeR,0,0,1855,1017.5,((((x)-(3))-((7)*(9)))*(x)),((((((((x)+((((6)*(5))-(1))+((6)+(3))))*((0)-((0)+(x))))*(((2)-(0))*((3)-((9)+(x)))))+((8)*(x)))*(x))/(x))/(x)),5*x*x*x+2*x+7,3
2,-0.9707709898725907,0.17091127346252302,-0.9661466840901667,0.173339592742974,0,0,0.006136380007088465,0,SkipD,AddRandomSubTreeR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|DivXD|DivXD|AddRandomSubTreeR|AddRandomSubTreeR,1,0,2627.5,1510.275357142857,(((((((((8)-(5))+(6))*(x))*(((x)*(3))*((4)*(1))))+((x)-((6)*(0))))-(x))/(x))*(x)),((((((((((2)-(6))-(1))+((x)+(7)))+(4))*((8)+(5)))+((3)*(1)))*(x))/(x))/(x)),5*x*x*x+2*x+7,3
3,-0.9789627572688664,0.3678072256162982,-0.9754091800065339,0.603165613317816,0,0,0.5612085716619536,0,SkipD,ReplaceBranchXR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,2,2,1530.5,0,(((((((x)*(x))*(9))+((x)*((9)-(5))))-(x))/(x))*((0)*(2))),(((((((x)*((9)*(8)))*((x)/(((x)-(x))*((1)-(x)))))+((0)-(5)))*((5)*(0)))-(x))/(x)),5*x*x*x+2*x+7,3
4,-0.8979045292025118,0.1906357114336532,-0.80828160731787,0.2304882728437122,0,0,0.05219579823749058,0,SkipD,AddRandomSubTreeR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,3,3,21965.5,1345.5,((((((((x)*(5))*((8)+((x)-(1))))*((x)*(x)))+(((x)*(1))*(((x)-(2))*(9))))-(x))/(x))*(x)),(((((9)*(2))*((x)*((7)*(3))))-(x))/(x)),5*x*x*x+2*x+7,3
5,-0.9775400196014374,0.058521982810976536,-0.9749959163672002,0.17963295703413307,0,0,0.004476794357397855,0,SkipD,ReplaceBranchXR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,3,2,1531,1500.8722222222223,(((((x)+(0))-((3)*(2)))/(x))*(x)),(((((((x)-((7)+(8)))/((3)*(6)))+((5)*(7)))*(x))-(x))/(x)),5*x*x*x+2*x+7,3
6,-0.9806844168572362,0.14024816063671824,-0.9738565828160732,0.16014578569095067,0,0,0.0059823765700446506,0,SkipD,ReplaceBranchXR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MutateNonTerminalR|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,4,5,1669.5,1534.7071031746032,((((((2)-(8))*(x))*((2)*(((x)-(1))+((7)+((0)*(x))))))-(x))/(x)),((((((((2)-((2)*(4)))-((x)-(2)))+(((((0)-(4))+(((0)-(x))*(1)))+(((x)-(5))*(x)))-((1)-((x)/((x)*(x))))))+(x))*(x))-(x))/(x)),5*x*x*x+2*x+7,3
7,-0.9828450669715778,-0.05924104813592057,-0.9799697811172818,0.17801916584994004,0,0,0.05832880178033429,0,SkipD,ReplaceBranchXR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,6,2,1531.5,1433.9,(((((x)-(((1)*(0))+(1)))-(x))/(x))*(x)),((((((((x)*((8)*(3)))+((6)*((x)-(((x)-((1)*(1)))*(4)))))+(((x)*(x))-(((3)-(3))/((x)*(x)))))+(x))*(x))-(x))/(x)),5*x*x*x+2*x+7,3
8,-0.982118248393771,0.06625699141388847,-0.9760096101491886,0.16441066400653556,0,0,0.0024204523734882005,0,SkipD,AddRandomSubTreeR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,5,7,1524.0833333333333,1531.5,(((((x)+(3))-(((7)-(3))-(1)))/((2)*(3)))*(x)),((((((1)*(3))-(((5)-(x))*(7)))*((0)*(5)))-(x))/(x)),5*x*x*x+2*x+7,3
9,-0.9331391633997604,0.08584535477241628,-0.8899674579839558,0.1671975821436782,0,0,0.008104369761954229,0,SkipD,ReplaceBranchXR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,8,7,12680.71777777778,1519,(((((((5)*((7)-(5)))*(((x)*((8)-(4)))*(x)))+((x)+(7)))-(x))/(x))*((8)*(8))),((((((x)+((2)-((6)-(9))))+(((5)-(4))*(2)))*(x))-(x))/(x)),5*x*x*x+2*x+7,3
10,-0.9213055374060765,-0.01953502748279834,-0.8669307415877164,0.30304713549363993,0,0,0.1893012539860042,0,SkipD,ReplaceBranchXR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,8,9,14240,1034.1833333333332,(((((((x)*((x)*(7)))*(((3)-(9))*(x)))+((2)*(((2)+(x))+((0)-(7)))))-(x))/(x))*(x)),(((((((x)*(4))*((((6)+((8)+(9)))-(3))+((7)-((x)/(((5)-(4))*((8)*((5)-(8))))))))+(x))*(x))-(x))/(x)),5*x*x*x+2*x+7,3
11,-0.9621223660568441,0.17151140003353327,-0.9490242159425024,0.17175179420564912,0,0,0.007284866750089983,0,SkipD,AddRandomSubTreeR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,10,10,4991.7,1511.7,(((((((5)*(x))*(((9)-((x)-(4)))*(((2)-(5))+((x)*(x)))))+((x)-(7)))-(x))/(x))*(x)),(((((3)*(7))*(x))-(x))/(x)),5*x*x*x+2*x+7,3
12,-0.9263328977458347,-0.043135077047779816,-0.898141130349559,0.07942677407717635,0,0,0.15879662980010018,0,SkipD,AddRandomSubTreeR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,9,10,11043.7,1484.5,((((((((x)+(2))*(x))*(((x)*(4))*(x)))+((2)*(((7)-((0)*(9)))+(6))))-((5)*(1)))/(x))*(x)),((((((((((3)-((1)+(6)))+((7)*(3)))-(((x)-(6))+((5)+(9))))*(((4)*(x))+((2)*(7))))-((x)-(4)))+(x))*(x))-(x))/(x)),5*x*x*x+2*x+7,3
13,-0.9731174452793205,-0.04261853292005645,-0.9718637700098007,0.16721115103996512,0,0,0.0015400343704378714,0,SkipD,ReplaceBranchXR,ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithSub|SkipD|SubXD|SkipD|AddToLeafR|AddToLeafR|DivXD|ReplaceBranchXR|MultXD|SkipD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|AddXD|MultXD|ReplaceBranchXR|SkipD|AddTreeWithMult|AddTreeWithSub|AddToLeafR|SubXD|DivXD|AddRandomSubTreeR,12,10,1937.5,1527.5,(((((((7)-(6))*((x)*(4)))+(((x)-((x)*(8)))*((x)+(4))))-(x))/(x))*(x)),(((3)*(x))/(x)),5*x*x*x+2*x+7,3
