gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,5*x*x*x+2*x+7,10,1,-0.17543531926306716,-0.04618452260271441,-0.05339132832068043,0.07802333133089323,-1361129386554115500000000000000000000,9527905705878808000000000000000000000,17931.349669135805,224.0223496776815,0.03659582503875176,0.8244037896112382,0.3334227978621488,0.2034053007948595,16355.278333333332,1334.97,63545.5,322.5,((((9)*((4)*(x)))*(((6)*(0))+((7)+(3))))*(((4)*((x)*(x)))+((7)*((x)+((x)-(x)))))),(((((x)*(3))+((3)*(1)))*(((x)*(x))/((x)*(x))))+(((x)-((7)+(0)))+(((x)*(x))-((x)+((x)-(x)))))),AddToLeafR|AddTreeWithSub|SkipD|SkipD|MultXD|SkipD|ReplaceBranchXR|SkipD|AddXD|AddTreeWithDiv|MutateNonTerminalR|SkipD|AddRandomSubTreeR|SubXD|ReplaceBranchR,MultXD|AddXD|MutateTerminalR|SubXD|AddTreeWithAdd|AddXD|MultXD|AddRandomSubTreeR|AddToLeafR|SubXD|AddXD|ReplaceBranchXR|SkipD|SkipD|SubXD,SkipD,AddXD,0,0,1,1,0
1,5*x*x*x+2*x+7,10,1,-0.1966673673580954,-0.08689226001139627,-0.1212824085586303,0.0626187217336752,NaN,NaN,729129.9037478836,252.31445566393214,0.9983152565804098,0.3793604123561653,0.7336449140458392,0.16653232710863952,-17014117331926443000000000000000000000,1623.7439027777777,36337877.50000001,1139.8666666666668,(((((5)*(x))-((0)*(x)))*(((0)+(9))*((8)*((7)+(x)))))*(((x)+((3)/(4)))+(((7)*(3))*((7)-((x)+(x)))))),(((((5)*(5))/((3)+(x)))*(((7)*(8))+((1)+((2)+(6)))))*((((0)*(x))*((8)+(2)))-(((x)-(x))*((x)+((x)/(x)))))),ReplaceBranchXR|AddTreeWithDiv|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|SkipD|AddRandomSubTreeR|MultXD|AddXD|DivXD,AddToLeafR,AddTreeWithAdd,1,1,2,2,0
2,5*x*x*x+2*x+7,10,1,-0.15568152106388528,0.006617234139832022,0.016990897836563032,0.1321404423978746,-1814839182072153800000000000000000000,982.4532313530951,128204.98366666667,124.63086349206347,0.9799125645317478,0.8489055864096701,0.7672316303123518,0.21944544798714247,-11342744887950962000000000000000000000,5674.312921590145,3047676.25,277.5,(((((x)*(4))*((x)*(x)))+(((0)*(7))*((5)*(4))))*(((4)+((7)-(x)))*(((4)+(5))/((2)-((x)+(x)))))),(((((5)*((1)+(7)))/((3)+((1)+(3))))*(((5)-((9)+(8)))*(((x)+(2))*((0)-(x)))))*((((6)-(x))-((7)*((0)*(2))))+(((x)+((x)-(x)))-((x)-((x)+((x)/(x))))))),AddTreeWithAdd|AddTreeWithDiv|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,AddTreeWithAdd,2,0,3,3,0
3,5*x*x*x+2*x+7,10,1,-0.14616750142064527,0.01333699882860265,0.07189450856749605,0.0756445609541459,-1871552906511908600000000000000000000,1422.145098609697,401063.1408888889,228.39119935161565,0.996055836648242,0.24365675705107265,0.817182622363464,0.024484282833018473,-8507058665963221000000000000000000000,4636.610799327531,15521669.5,1389.1,(((((5)*(1))+((8)+(1)))*(((x)*(x))*((2)*(2))))*(((4)*((8)+(6)))*((9)*((4)-((x)+(x)))))),(((((x)-(3))*((x)+(x)))*(((2)*(4))*((6)+(3))))+(((8)*((x)-(5)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,SubXD,2,3,4,4,0
4,5*x*x*x+2*x+7,10,1,-0.17891557594081134,-0.0220782144706237,-0.0042514631941942315,0.060040229184708103,NaN,NaN,98558.0415,257.05011507936507,0.7408880151183929,0.31433082870521617,0.5958940189842012,0.12215872985630791,-6805646932770577000000000000000000000,4057.018677968196,236268.5,1259.3,(((((9)*(x))*((x)*(x)))+(((9)*(4))*((2)*(1))))*(((4)-((7)+(6)))+((3)*((9)-((x)+(x)))))),((((x)*((9)*(3)))+((8)-((5)-(1))))*(((8)*(x))-((x)-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,4,4,5,5,0
5,5*x*x*x+2*x+7,10,1,-0.13798410952453996,0.0031031876754117915,0.11808326108490692,0.09498315469060321,NaN,69694.397672481,7434855.901999999,192.87393809523812,0.9787081746662822,0.8130959078974433,0.7990019924111086,0.4365293949913309,-5671372443975481000000000000000000000,854760.8848293858,2875281.9,343.2680555555555,(((((7)+(x))*((x)*(x)))*(((x)*(7))+((0)*(0))))+(((x)+((5)*(6)))*((4)+((3)-((x)+(x)))))),(((((x)+((2)-(3)))*((x)*((x)*(6))))*(((5)+((8)+(x)))-((9)-((4)*(2)))))*((((5)+(1))*((6)-((7)-(2))))+(((2)+((x)-(x)))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,SubXD,4,3,6,6,0
6,5*x*x*x+2*x+7,10,1,-0.14138699274310895,0.0052701412439255,0.0815955731775327,0.056550178124173546,NaN,NaN,141995.33200000002,263.45994285714283,0.8787967578825663,0.3180314210696438,0.77166368224891,0.047914197811265484,-4861176380550412000000000000000000000,9594.881398662092,505102,1252.503492063492,(((((6)*(8))*((4)*(7)))-(((9)*(x))*((2)+(x))))-(((7)+((7)-(x)))+((7)*((x)-((x)+(x)))))),(((((3)+((3)*(x)))+((5)*((8)-(4))))*(((x)+((3)+(8)))+((4)*((x)-(7)))))*((((8)+(4))*((x)-((0)+(4))))+(((x)-(x))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,SubXD,6,6,7,7,0
7,5*x*x*x+2*x+7,10,1,-0.16034700514186276,-0.000971035984381935,0.01607902276870977,0.07535090591828586,-850705866596322100000000000000000000,29147.85725442443,218438.658,228.9305261904762,0.9502491362674694,0.3989981487531308,0.7514936434632045,0.02320413653008658,-4253529332981611000000000000000000000,8866.612372142821,1230531.4,1103.8,(((((4)-(6))*((x)*(4)))*(((8)*(7))*((6)+(x))))*(((7)*((x)+(3)))-((5)-((x)-((x)+(x)))))),(((((5)*(8))+((1)+((0)*(x))))+(((x)-(5))*((0)+((3)+(1)))))+((((6)+(5))-((9)+(x)))*(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|AddTreeWithAdd|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,6,7,8,8,0
8,5*x*x*x+2*x+7,10,1,-0.14396111268573042,0.013222779486841172,0.10576413615254258,0.0631274145289173,-756182992530064100000000000000000000,5269.199420991175,347053.63,251.38019047619048,0.9585474545990692,0.3011543068713928,0.7631853706352097,0.056791541906005605,-3780914962650320700000000000000000000,8047.284743051115,1476869.5,1283.5,(((((4)+(8))*((8)*(8)))*(((8)*(2))+((9)*(2))))*(((4)*((0)*(3)))+((7)*((x)-((x)+(x)))))),(((((8)-(4))*((5)*(5)))+(((4)+(9))+((x)+(4))))*(((x)+((5)-(4)))+(((9)*(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,SubXD,8,8,9,9,0
9,5*x*x*x+2*x+7,10,1,-0.15647234964315251,0.004862059401191165,0.030361151304860653,0.09484666887917459,-680564693277057600000000000000000000,6478.064971717456,302651.592,193.1246079365079,0.953187755562395,0.3102937579620036,0.7263688622876269,0.12870024739201152,-3402823466385288500000000000000000000,13856.293402079336,1307777.5,1266.7144841269842,(((((7)+(x))*((2)+(9)))*(((3)*(8))+((2)*(x))))*(((2)*((2)*(0)))+((7)*((x)-((x)+(x)))))),(((((x)*(2))+((6)*(4)))*(((0)+(8))+((x)+(5))))*(((9)-((5)-(5)))-((x)-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|AddTreeWithAdd|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,AddTreeWithAdd,7,7,10,10,0
10,5*x*x*x+2*x+7,10,1,-0.1496154868040019,0.0034962649503820597,0.01109283274063617,0.08667815615120417,-618695175706416000000000000000000000,5128.85502997402,33374.83,208.12689841269838,0.9194589726874878,0.5004355874986388,0.8006346175389815,0.15927941911842244,-3093475878532080300000000000000000000,33823.77148782104,760109.5,917.5,(((((4)+(3))*((x)+(2)))+(((8)*(8))*((8)*(7))))+(((3)*((x)*(3)))*((1)*((8)-((x)+(x)))))),(((((x)*(2))+((3)+(x)))*(((4)+(2))*((0)+((8)*(3)))))*(((x)-((x)*(0)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,SubXD,7,9,11,11,0
11,5*x*x*x+2*x+7,10,1,-0.14780806462283588,0.003274639501985635,0.09508924301589557,0.058274930470209776,-567137244397548100000000000000000000,7208.945798243382,172686.17,260.2922626984127,0.9822944199079899,0.4612853461105666,0.7976963732538944,0.32578571358048064,-2835686221987740500000000000000000000,43189.422847962946,3457667,989.4033333333333,(((((5)*(x))*((3)+(8)))+(((3)*(8))*((x)+(6))))*(((9)*((x)*(6)))*((5)*((x)-((x)+(x)))))),(((((x)+(7))*((4)+(2)))*(((8)+(4))*((6)-(9))))-(((x)-((x)+(x)))-(((x)-(x))-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,AddTreeWithAdd,11,11,12,12,0
12,5*x*x*x+2*x+7,10,1,-0.1323919470551324,0.01398186872487115,0.1259500836157249,0.0743017687963784,-523511302520813600000000000000000000,7175.816090728934,321088.54,230.85737142857147,0.48607741578032787,0.5320764602984466,0.5625241779473878,0.11382028568382138,-2617556512604068200000000000000000000,28986.866937191677,119123,859.388373015873,(((((5)*(9))*((4)+(0)))+(((3)+(6))*((x)*(6))))+(((x)+((2)*(x)))*((8)*((x)-((x)+(x)))))),(((((5)-((9)*(4)))-((0)+((3)+(x))))+(((x)+((4)*(x)))*((7)+((3)+(x)))))+((((x)-(1))*((x)*((8)*(x))))+(((8)-(3))-((x)-((x)+((x)/(x))))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,AddToLeafR,SubXD,11,11,13,13,0
13,5*x*x*x+2*x+7,10,1,-0.15626759161487142,-0.0004460405852759558,0.01184175309259191,0.05155816043793829,-486117638055041240000000000000000000,6472.118397371878,72712.924,272.6282825396826,0.4874371017841744,0.31165421266695353,0.6257636617927954,0.08202699498110683,-2430588190275206000000000000000000000,27850.639064977302,119439,1264.215873015873,((((5)*((9)*(5)))+(((2)*(3))*((8)*(2))))*(((8)+((9)+(4)))-((9)-((x)-((x)+(x)))))),(((((x)-(2))*((x)*(5)))+(((1)-(1))-((5)*(x))))+(((4)-((5)+(3)))-((x)-((x)+((x)/(x)))))),SkipD|MutateTerminalR|SkipD|AddToLeafR|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithAdd|SubXD|AddXD|SkipD,AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddTreeWithAdd|AddTreeWithAdd|SkipD|SubXD|ReplaceBranchXR|MutateNonTerminalR|MutateTerminalR|SubXD|AddXD|DivXD,SkipD,SubXD,7,13,14,14,0
