generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
49,-0.9752862479731543,0.19511094725094086,-0.9749493340081136,0.2790082644628099,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategyReplaceBranchXR,StrategyDivXD,StrategyReplaceBranchR,47,47,1576.8508279793398,1576.8508279793398,(((((5)*((9)*((9)+(8))))-((x)-(7)))/(x))/(x)),((((x)*(5))*((x)*(1)))*(x)),5*x*x*x,5
50,-0.9753055743987398,0.20962505228390516,-0.9750123673529905,0.2790082644628099,StrategySkipD|StrategySkipD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategySubXD|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategyReplaceBranchXR,StrategySkipD,StrategyMutateNonTerminalR,49,49,1516.8431746031747,1516.8431746031747,((((5)-(4))+((3)*(x)))*((x)+((4)/((x)/(x))))),(((x)*((5)*(x)))*((1)*(x))),5*x*x*x,5
1,-0.9102423809950796,0.1227928304033831,-0.386483443415701,0.30140826118326125,StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddTreeWithSub,StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddXD,0,0,5291027.5,5291027.5,(((((6)*((9)*((9)-(3))))*(x))*(((0)+((6)*(9)))*(x)))*(x)),((((((0)-(6))-(8))+(((x)+(8))+((7)+((7)*((8)/(0))))))+((1)/(3)))+(x)),5*x*x*x,6
2,-0.9223195874396127,0.20421444766168828,-0.6544755468426173,0.5355069596291232,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyAddTreeWithSub|StrategyAddRandomSubTreeR|StrategyMutateTerminalR|StrategyAddTreeWithMult,StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,1,1,311630,311630,(((5)*(x))*((((x)*(1))*(3))*((3)+(((4)*(5))*((3)*(((0)-(9))-(0))))))),(((((((7)+((3)/(((4)-(4))/(7))))/(x))+((5)+(x)))*((x)/(3)))+(x))+((6)/(8))),5*x*x*x,6
3,-0.939364334725085,0.16478801529154083,-0.14001355392267892,0.5532470497531198,StrategyMutateTerminalR|StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMultXD|StrategySkipD,StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv,StrategyMultXD,StrategyAddXD,2,1,9891486,9891486,(((((((7)*(8))*((x)*(x)))*(x))*((8)*(x)))+(x))*(x)),((((((((((x)+(2))*(x))-((5)/((8)-(5))))-(((2)/(0))*((x)/((8)-(x)))))/((6)/((0)-(3))))+(x))*((0)/(9)))+(x))+(x)),5*x*x*x,6
4,-0.9727924748108174,0.2909847862351109,-0.8753625813687937,0.5399690867530851,StrategyMutateTerminalR|StrategyAddRandomSubTreeR|StrategyAddRandomSubTreeR|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategySkipD|StrategyAddXD|StrategyAddTreeWithDiv,StrategyAddRandomSubTreeR,StrategyAddTreeWithDiv,3,3,275687.50000000006,275687.50000000006,(((5)*(((7)/(3))*(5)))*((x)*((4)*((6)*((6)*(6)))))),((((((((4)/(6))+(((8)/(x))*(((1)/(8))+((3)/(5)))))*(((0)-(2))+((5)+((x)*(0)))))/(x))+((4)/(0)))-(x))+(x)),5*x*x*x,6
5,-0.961948795328739,0.2994048659317182,-0.8797443912754878,0.5281245757557251,StrategySubXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyReplaceBranchR,StrategyDivXD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,3,4,956074.9,956074.9,((((9)*(x))*((((x)*(7))*(6))*(x)))*((x)*(1))),((((((((9)-(2))*(9))+((7)*((4)+(((9)/(0))/(4)))))-(((3)*(x))-(((1)/((x)/(2)))/(((7)/(x))*(0)))))/(x))-(x))+(x)),5*x*x*x,6
6,-0.9594913094711435,0.28040575528427025,-0.8582491202081941,0.5307875267025024,StrategyAddTreeWithSub|StrategyMultXD|StrategyReplaceBranchR|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyReplaceBranchR,StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategyMultXD|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,5,5,208309.2,208309.2,((((((6)*(9))*((7)+(6)))-(x))*((x)*(x)))*(x)),((((((5)*((1)/((x)/((7)/(0)))))+(((9)/(5))*((5)*(5))))-((4)*((((5)-(0))/(6))-((4)-(2)))))*(x))-(x)),5*x*x*x,6
7,-0.9441027494204508,0.21804506164543386,-0.7341457131668905,0.6243156142882953,StrategySubXD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,6,6,189755.5,189755.5,((((((5)*(5))*(8))+(7))*(((1)*(3))*(x)))*((x)*(8))),(((((5)-((1)-(8)))*((1)-(((((4)/(0))/(4))/((3)/(0)))*(0))))-(x))/(x)),5*x*x*x,6
8,-0.9596622562295141,0.2314463011859375,-0.8142171495606789,0.5303502982990896,StrategySubXD|StrategyMultXD|StrategyReplaceBranchR|StrategyMutateNonTerminalR|StrategySkipD|StrategyAddTreeWithMult|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddTreeWithMult,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,7,7,68068,68068,((((((5)-(((5)*(3))*(4)))*((x)*((2)*(2))))*(x))*(x))-(x)),(((((((9)+(7))/(((7)-(x))*((2)-((1)/(2)))))-(((5)/(3))/(((3)*(6))-((x)*(((8)*(5))/(0))))))*(x))-(x))/(x)),5*x*x*x,6
9,-0.9197031191191615,0.1734648129880914,-0.5096920564454821,0.6617239203351051,StrategySubXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithMult|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddTreeWithMult,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,8,8,840235,840235,((((((3)*((9)*(2)))*(x))*((x)*((1)*(9))))-(x))*((9)*(5))),(((((((3)-(6))*((8)*(((0)/(x))/(9))))-(((6)-((x)/(1)))+((2)/(0))))*(x))-(x))/(x)),5*x*x*x,6
10,-0.9329558470535211,0.2172227208899952,-0.7621972497001752,0.5283476612789428,StrategyAddTreeWithSub|StrategyMultXD|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithMult,9,9,1075871.5,1075871.5,(((((8)+((9)*(5)))*(((2)+(9))*(x)))*((6)*(x)))*((7)+(1))),(((((x)*((1)/(9)))*(x))*(((8)-(1))-((((7)-((6)*(4)))/((5)*(0)))*(1))))+((6)-((7)/((7)*(2))))),5*x*x*x,6
11,-0.9488922817800265,0.17469694877113823,-0.7394483985043065,0.4447233852262508,StrategySubXD|StrategyAddRandomSubTreeR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddToLeafR,StrategyAddTreeWithDiv,10,10,548752.6,548752.6,((((((4)+(x))*(7))*(x))*(((2)+(5))*(x)))*((3)*(x))),((((((8)-(((7)/(1))*(0)))*((2)*((6)*((9)-(2)))))*((x)+(7)))*(x))*((((4)/(0))*(9))-(1))),5*x*x*x,6
12,-0.9492197395870192,0.19214871579766818,-0.681033794640439,0.538867774177072,StrategyAddTreeWithSub|StrategyMultXD|StrategySkipD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,11,10,300987.5,300987.5,((((5)*(x))*((((5)+((3)*(8)))-(4))*(x)))*((x)*((3)+(5)))),((((((6)*(x))*(4))+((5)*((8)-((6)/((0)/(6))))))+(((x)*(((7)-(9))*(((3)-(x))/(7))))+((9)*(((1)/(2))/(x)))))-(x)),5*x*x*x,6
13,-0.9223078017877459,0.20739593462721082,-0.6238898792729621,0.5045382833004453,StrategyAddTreeWithSub|StrategyMultXD|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategyDivXD,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,12,10,541799.5,541799.5,(((((8)*((4)*(1)))*((7)*((5)+(4))))*((x)*((1)*(7))))*(x)),(((((((1)-((3)/(0)))+((4)*((2)/((8)/(4)))))-((3)+((1)*(8))))*(x))-(x))/(x)),5*x*x*x,6
14,-0.9425095592213932,0.23377939103114306,-0.7627026246832821,0.5519858978232556,StrategyAddTreeWithSub|StrategyMultXD|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,13,13,607887.5,607887.5,(((((x)*(7))*((x)*((6)+(4))))*((0)-(5)))*((5)*(9))),((((0)-((0)-(4)))/(0))+((9)/((x)*((9)/(9))))),5*x*x*x,6
15,-0.9597374300836383,0.23874665810665108,-0.8397422127224299,0.41489200212043703,StrategyAddTreeWithSub|StrategyMultXD|StrategyAddToLeafR|StrategyDivXD|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,14,14,515927.5,515927.5,(((((5)*((7)+(7)))*((((8)*(1))-(0))*((x)*(4))))*(x))*((2)*(3))),(((((7)*((3)+(1)))*((9)+((((5)/((7)/(8)))*((7)/((0)*(3))))*(3))))-((((x)-(6))/(1))+(x)))-(x)),5*x*x*x,6
16,-0.964694655514419,0.2950674990475976,-0.7814424492306393,0.6258132527065836,StrategyAddTreeWithSub|StrategyMultXD|StrategyAddToLeafR|StrategyDivXD|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,15,15,538252,538252,(((((((4)*((0)+(8)))-(7))*(x))*((((9)*(7))+(x))*(x)))*(x))-(x)),(((((((6)/(0))+(5))*((3)*((4)*(4))))-(((8)/(3))-((x)*(6))))*(((5)/(0))*((x)+(4))))-(x)),5*x*x*x,6
17,-0.9443658536754247,0.2443138216788972,-0.7989920119299819,0.5604795570164577,StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,16,16,363288.2,363288.2,(((((((2)*(6))*(x))*((((0)*(4))+(2))*(6)))*((x)*(x)))*(x))+(x)),((((((2)/(8))+(2))+(((x)/(1))-((((3)-(6))/(0))*((2)/((x)*(3))))))*((3)*((6)-(6))))-(x)),5*x*x*x,6
18,-0.9415900119406404,0.28749390878232106,-0.7469127344653606,0.49962527450278393,StrategyAddTreeWithSub|StrategyMultXD|StrategyAddToLeafR|StrategyDivXD|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,17,17,5814050,5814050,(((((((7)-((6)*((8)*(9))))-(2))*(x))*((x)*(x)))*((4)+(1)))*(9)),((((3)-(0))*(x))-((5)/(0))),5*x*x*x,6
19,-0.9752188225382099,0.3073691640591548,-0.8281064585699275,0.5492454228236714,StrategySubXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyDivXD|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,17,18,135247.2,135247.2,((((((8)-(((3)+((0)+(0)))-((7)*(7))))*(x))*((x)*(x)))-(x))*(x)),(((6)*(9))-(((8)-((x)/((x)*(1))))/((0)/(8)))),5*x*x*x,6
20,-0.9286484011421351,0.29597100832577217,-0.6781969150280781,0.4576829855040751,StrategySubXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyDivXD|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddToLeafR,StrategyAddTreeWithDiv,19,19,406862.5,406862.5,(((((5)*(3))*((x)*(((5)-((0)*(7)))*(((2)+(4))*(3)))))*(x))*(x)),(((4)+(6))+(((3)/(((0)/(0))*(1)))/((5)-(0)))),5*x*x*x,6
21,-0.9867050124414269,0.3078589588405942,-0.896853603677077,0.49241201816654234,StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddTreeWithDiv,StrategyAddTreeWithDiv,19,20,59242.7,59242.7,(((((((1)/((8)/((8)*(3))))*(x))*(((8)*(x))*(x)))-(x))*(x))-(x)),(((((((9)/((6)/(6)))-(0))+((x)*((6)/(7))))*(((x)+((x)*(8)))-((x)/((((6)/(0))-(4))-(7)))))*(x))-(x)),5*x*x*x,6
22,-0.9780388479409183,0.351356492519893,-0.8764861881756684,0.6471294844791122,StrategySubXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,21,21,123150.5,123150.5,(((((5)*((5)+((6)+(x))))*((x)*(((4)*(3))+(6))))-(x))*((2)*(7))),((((8)-((((0)*(2))*(8))-((6)/((3)/(8)))))*(((9)*(4))-(1)))*((1)-((2)/(0)))),5*x*x*x,6
23,-0.9550122454104624,0.34842702703147926,-0.7814942239495967,0.6022700054659147,StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyMutateNonTerminalR,StrategyAddTreeWithDiv,22,22,72090.86666666667,72090.86666666667,(((((((x)*((4)/(1)))*(x))*(((x)/(6))*(x)))*(x))*((1)*(5)))-(x)),(((((1)-(0))/((3)+(((9)*(6))*(1))))*(((5)/(x))-((8)+((0)/(((x)/(0))*(6))))))*(x)),5*x*x*x,6
24,-0.9561962547406896,0.2884035878040948,-0.7850402998541214,0.4609569595793719,StrategySubXD|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,23,23,105396.5,105396.5,((((((9)*(1))*(5))*((x)*(((x)+(5))*((9)*((7)-(3))))))-(x))-(x)),((((((x)/(2))/((0)*(6)))-((5)+(8)))*((6)*((5)+(9))))-(((1)/(8))+(5))),5*x*x*x,6
25,-0.9507313568922402,0.28012641403757443,-0.8577176593723518,0.5367306060692578,StrategySubXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,24,24,412324,412324,(((((8)*(x))*((x)*((((9)+(7))+(3))*(9))))-((5)-(8)))*(x)),((((6)-((7)*(x)))+((0)*((5)-(((5)/(((1)-((3)/(0)))/(7)))*((3)*(9))))))*(x)),5*x*x*x,6
26,-0.9682480239572996,0.3145354723728412,-0.8675770458473877,0.45741548305056917,StrategySubXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,25,24,6440736.5,6440736.5,(((((5)*(((x)+((9)*((9)+(9))))*((5)*(5))))*((x)*(x)))-(x))*(x)),((((((6)*(5))*((7)/(0)))+((9)*(3)))+((7)+((4)*((4)/(x)))))*((5)/(3))),5*x*x*x,6
27,-0.9711461046608519,0.33477398559584504,-0.8788611273761802,0.5334373609747647,StrategySubXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddToLeafR,StrategyAddTreeWithDiv,26,26,1861849,1861849,((((((x)*((3)+(7)))*((6)+(8)))*(((4)+((5)*(8)))*(x)))-(x))*(x)),((((3)*((3)/(6)))-((x)-((6)*((x)/(((0)*((0)/(0)))-((2)*(1)))))))*(x)),5*x*x*x,6
28,-0.9528650102668845,0.3530785723769572,-0.6481014394902507,0.6529124152318228,StrategySubXD|StrategyAddTreeWithMult|StrategyAddToLeafR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv,StrategyAddToLeafR,StrategyAddTreeWithDiv,27,27,221622.5,221622.5,(((((x)*(4))*((x)*((((3)+((2)+(2)))*(9))*(((2)*(9))+(5)))))-(x))-(x)),(((((x)*(6))/(7))-((4)/(0)))-((2)-(8))),5*x*x*x,6
