generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.9646025496839765,0.0860533682002556,-0.8831751670400273,0.4183360208128142,StrategySkipD|StrategyAddXD|StrategySkipD|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyDivXD|StrategyMutateTerminalR|StrategyAddToLeafR|StrategyAddTreeWithMult,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyAddXD|StrategyDivXD|StrategyAddTreeWithMult|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategySkipD,StrategyReplaceBranchXR,0,0,34676,34676,(((((((((2)+(5))+(x))*(x))*((x)*((5)-((9)*(7)))))+((2)*((x)+(7))))+(x))*(x))/(x)),((((((8)-(7))-(1))/((0)*(8)))+(x))/(x)),5*x*x*x+2*x+7,4
2,-0.9811992720535617,0.13181445470769268,-0.9582007513884351,0.32030118304354666,StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategySubXD|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR,StrategyReplaceBranchXR|StrategyMultXD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv,StrategySkipD,StrategyAddTreeWithSub,1,0,12322.5,12322.5,(((((5)*(x))*((x)*((8)*((2)+(7)))))+((4)-(4)))-(7)),((((((x)+(5))-((((5)-((2)/(0)))+(2))*(((7)-(0))+(((2)-(3))-((4)-(0))))))*((5)*(6)))/(x))+(x)),5*x*x*x+2*x+7,4
3,-0.9426030455436372,0.15399448867951468,-0.8013962806868214,0.4164082861424724,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR,StrategyReplaceBranchXR|StrategyMultXD|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv,StrategySkipD,StrategyReplaceBranchXR,2,2,206061.5,206061.5,((((((5)*(x))*((x)*(x)))+((2)*((x)*(4))))*(x))*((9)+(7))),((((((9)-(4))+((2)-(7)))/(x))/(x))+((7)/(0))),5*x*x*x+2*x+7,4
4,-0.92433786743293,0.19454615822628224,-0.7933044753120656,0.34094062700400496,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyAddTreeWithAdd|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyMutateTerminalR,StrategySkipD,StrategyReplaceBranchXR,3,3,207755.5,207755.5,((((((5)*(x))*(((x)+(7))*(x)))*((x)*(9)))-(x))+(x)),((((x)+(((4)+(9))*((x)+(0))))/((0)*(5)))+(x)),5*x*x*x+2*x+7,4
5,-0.8977878514192383,0.1618373512384383,-0.5709873904810341,0.24756019449185188,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyReplaceBranchXR,4,4,1976864.7,1976864.7,((((((((5)*(x))*((x)*(x)))*((2)*((x)-(0))))*(x))*(x))-(x))-(x)),(((((x)*(6))/((0)*((7)-(5))))/((5)-(0)))+(x)),5*x*x*x+2*x+7,4
6,-0.9111239088079209,0.14509076719412492,-0.6573464982645698,0.2628321520291403,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyDivXD,4,5,307440.5,307440.5,((((((((5)*(x))*((x)*(x)))*((2)-((x)*(3))))*(x))+(x))-(x))-(x)),(((((((5)*(((9)/(0))-((x)+(9))))+((x)*(((9)*(4))*(x))))+((((0)-(3))-((8)-(7)))+((x)-((x)-(x)))))/(x))/(x))+(x)),5*x*x*x+2*x+7,4
7,-0.9313843181189834,0.1804093895559779,-0.7818070818758824,0.3469880345980745,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyReplaceBranchXR,6,6,109554.4,109554.4,((((((((5)*(x))*((x)*(x)))+((2)*((x)+(1))))*(x))*(x))-(x))-(x)),(((((((5)*(x))+(((x)+(5))*((9)+(8))))+(((4)*(x))-((x)+((4)/(x)))))/((0)*(9)))/(x))+(x)),5*x*x*x+2*x+7,4
8,-0.836892593744491,0.1747080334187651,-0.643743665879121,0.2527523769076897,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyReplaceBranchXR,7,7,222875,222875,((((((((x)*(5))*((x)*(x)))*((2)+((x)+(7))))*(x))+(x))-(x))-(x)),(((((((2)-(x))-(2))-(((5)*(x))+((x)-((3)*(6)))))/((x)+(x)))/((0)*(9)))+(x)),5*x*x*x+2*x+7,4
9,-0.9135048313950612,0.18613875776696825,-0.8000747663930694,0.2711513785374774,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyDivXD,8,8,201314.6,201314.6,((((((((x)-(3))*((x)*(x)))*((2)*((x)*(7))))*(x))+(x))-(x))-(x)),(((((((5)*((6)/(0)))*((x)+(8)))+((((0)*(4))-(x))+((x)-(6))))/((6)*(8)))/(x))+(x)),5*x*x*x+2*x+7,4
10,-0.9357839401306839,0.26048011897049256,-0.8307048047697612,0.34753958286891173,StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyReplaceBranchXR,8,9,123996,123996,(((((((5)*(x))*((x)*(x)))*((8)*((x)+(((9)-(2))-(5)))))+(x))-(x))-(x)),((((((x)*(9))+(((((4)-(3))/((5)*(0)))*(x))+((x)+((x)+(8)))))/(x))/(x))+(x)),5*x*x*x+2*x+7,4
11,-0.9203826208885246,0.19410615232817752,-0.7723046912902903,0.41370396022139844,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyAddToLeafR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyReplaceBranchXR,10,10,119761,119761,((((((((5)*(x))*((x)*(x)))+(((2)+(4))*((x)*(6))))*(x))*(x))-(x))-(x)),(((((x)+(6))/((1)*(5)))/((x)-(x)))+((4)-(6))),5*x*x*x+2*x+7,4
12,-0.913035237916815,0.2281312745180554,-0.8189593886570549,0.4199199084302447,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyDivXD,11,11,106000,106000,((((((((x)+(3))*((x)*(x)))*((2)*((x)+(7))))*(x))+(x))-(x))-(x)),(((((((x)-((0)*(x)))*((x)+(((7)-(5))*(x))))+((((5)/(1))-(x))+((x)-((6)*(5)))))/((x)*(0)))/(x))+(x)),5*x*x*x+2*x+7,4
13,-0.8630249147237004,0.2093052974087397,-0.7337529290768943,0.4304914735726963,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyAddToLeafR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyReplaceBranchXR,11,12,108873.2,108873.2,((((((((5)*(x))*((x)*(x)))+(((0)*(1))*((x)+(2))))*(x))*(x))-(x))-(x)),((((((7)-(5))+(4))/((0)*(7)))/((0)-(2)))+(x)),5*x*x*x+2*x+7,4
14,-0.8305770488231501,0.16709019942388215,-0.6150344753830794,0.26439745720241714,StrategySkipD|StrategyReplaceBranchXR|StrategyMultXD|StrategyAddToLeafR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyReplaceBranchXR,13,13,346328,346328,((((((((5)*(x))*(((0)+(8))*(x)))*((2)*((x)+(6))))*(x))+(x))-(x))-(x)),(((((x)-((9)+(9)))/(x))/((7)*(0)))+(x)),5*x*x*x+2*x+7,4
15,-0.8036156823980638,0.16453697562083172,-0.20429163650093557,0.29826968011627863,StrategySkipD|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddToLeafR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyReplaceBranchXR,14,14,2593881,2593881,((((((((5)*(x))*((x)*(x)))*((2)*((x)+((8)*((3)+(x))))))*(x))+(x))-(x))-(x)),((((0)*(5))/((5)*(0)))+(x)),5*x*x*x+2*x+7,4
16,-0.7171074638214231,0.12705730986412495,-0.03029747885486006,0.3255579506736205,StrategySkipD|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddToLeafR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyReplaceBranchXR,15,15,479791,479791,((((((((5)*(x))*((x)*(x)))*((2)*(((9)+(2))+((4)*(2)))))*(x))+(x))-(x))-(x)),(((((((5)*((2)*(1)))*(((x)*(x))+((3)*(2))))*((((4)/((9)-(9)))*(7))*(((x)+(9))+(((2)*(5))-(((2)-(8))*(9))))))/(x))/(x))+(x)),5*x*x*x+2*x+7,4
17,-0.6093872242017255,0.011761461231881449,-0.3507403376166126,0.27749373082026696,StrategySkipD|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddToLeafR|StrategyAddXD|StrategyMutateNonTerminalR|StrategySubXD|StrategySkipD|StrategySkipD|StrategySubXD,StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD|StrategyAddTreeWithSub|StrategyAddXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR,StrategySkipD,StrategyDivXD,16,16,4463232,4463232,((((((((5)*(x))*((x)*((8)*((3)*(4)))))*((2)*((x)+(7))))*(x))+(x))-(x))-(x)),(((((((5)*(((x)/(8))*(x)))*(((3)*(3))+((x)*((2)-((4)*(8))))))*(((1)+(7))*((x)+(5))))/(x))/((0)*(0)))+(x)),5*x*x*x+2*x+7,4
